partner_id,journal_id,move_name,product_id,quantity,analytic_distribution,price_unit,move_id
648,2,WvxbR5Z1qUHJ55epqbNj,24565,2.620,{'235': 8325.0},8325.0,24642
648,2,yb7XEcUYITouuY0QHlxK,24565,2,{'235': 3719.0},3719.0,24642
648,2,ALh9Xjk9JWLjFk6Oj7n7,24565,3,{'235': 3512.0},3512.0,24642
648,2,VLwU2k2l8l0NfMq3GXjO,24565,0.460,{'235': 5785.0},5785.0,24642
648,2,0giP4o6asik4M0QlUv7W,24565,2,{'235': 2024.0},2024.0,24642
648,2,gL2M7PerX0taAJujVw3i,24565,3,{'235': 1115.0},1115.0,24642
927,2,,24660,1,{'268': 100},5719.01,24643
1063,2,,24659,1,{'219': 100},309155.0,24653
688,2,,24662,1,{'274': 100},1139407.39,24644
964,2,,24661,1,{'220': 100},119306.0,24654
1015,2,,24554,1,{'235': 100},63300.0,24645
682,2,,24663,1,{'220': 100},62048.56,24655
717,2,,24664,1,{'304': 100},1110.0,24646
944,2,,24665,1,{'235': 100},385893.06,24656
769,2,,24666,1,{'230': 100},11570.25,24647
1194,2,,24553,1,{'280': 100},94900.0,24657
1148,2,9QUUdwShXf4cQ0majM7L,24558,1,{'235': 2066.115},2066.115,24658
1148,2,AuK3AAPM71mtotUFbNBS,24558,1,{'235': 24793.39},24793.39,24658
1148,2,uF5Q34XalcXar52SD06F,24558,1,{'235': 2479.39},2479.39,24658
1148,2,5B88buopCw7Y7ku3EAxe,24558,1,{'235': 2479.34},2479.34,24658
1148,2,mF1frqW6BLxfzXLZxRsx,24558,1,{'235': 2479.34},2479.34,24658
1148,2,QorVN0JdJIqdvVjt2DVj,24558,1,{'235': 23140.5},23140.5,24658
1148,2,UqNCyVZHCvTEreb7DomM,24558,1,{'235': 70247.93},70247.93,24658
1148,2,lR8QqbLfkNM4DwZ5fxWx,24558,1,{'235': 21008.0},21008.0,24658
1148,2,K93Gll5iG6k1vL02sUOt,24558,1,{'235': 6611.57},6611.57,24658
1148,2,7O6gCp20V0197kD7yOtW,24558,1,{'235': 6611.57},6611.57,24658
1148,2,X0gzRwbmpS7AHaSqwPOO,24558,1,{'235': 7351.24},7351.24,24658
1070,2,,24653,1,{'235': 100},75500.0,24659
648,2,,24635,1,{'235': 100},12575.0,24660
936,2,,24552,1,{'235': 100},9465.8,False
911,2,,24667,1,{'235': 100},32397.0,24648
983,2,,24608,1,{'280': 100},117550.0,24649
727,2,,24668,1,{'250': 100},37500.0,24661
648,2,,24669,1,{'235': 100},2562.3,24650
754,2,,24670,1,{'221': 100},139654.26,24662
642,2,8CZ0lfw7Htft2QLLjtUZ,24558,1,{'235': 13186.26},13186.26,24663
642,2,1yUvxcvcjVKGuVmJQjuk,24558,1,{'235': 4704.47},4704.47,24663
832,2,,24671,1,{'223': 100},390000.0,24651
1008,2,xiTMWqBum9wUKtbxIwxn,24565,1,{'218': 123506.59},123506.59,24652
1008,2,Z89N07uqDa39SuveIV6P,24565,1,{'218': 123506.59},123506.59,24652
1008,2,2fG61LagTurzHNkeFMrR,24565,72,{'218': 4650.7},4650.7,24652
1008,2,IqpQe5fUd3Gimsg8cDFV,24565,9,{'218': 137458.7},137458.7,24652
1008,2,EKl6DH9g88E0nXVQUAQu,24565,6,{'218': 17210.0},17210.0,24652
1008,2,IGtSZSz7wOd1C1HTLcvT,24565,8,{'218': 23290.0},23290.0,24652
1008,2,tmeVBqM0Np2CCslNAbzR,24565,8,{'218': 28970.0},28970.0,24652
1008,2,mUvTM1LtH0hYW7VoihLf,24565,2,{'218': 37680.0},37680.0,24652
1008,2,mqE6Yhk0xcgYa612GE6R,24565,3,{'218': 44392.0},44392.0,24652
1008,2,k9o0VjDdeukPwO0Tz7t4,24565,3,{'218': 44392.0},44392.0,24652
1008,2,T3YIT8WwaaDL3nLJCayK,24565,25,{'218': 7840.0},7840.0,24652
1008,2,XyVwzTRWrhCjClPM68FR,24565,1,{'218': 155640.12},155640.12,24652
1008,2,UlPns9lBEk6LlAjuTq6c,24565,24,{'218': 2390.0},2390.0,24652
1145,2,,24672,1,{'282': 100},12899.99,24664
1063,2,,24673,1,{'219': 100},309155.0,24653
889,2,,24674,1,{'244': 100},592900.0,24665
964,2,,24675,1,{'220': 100},119306.0,24654
1114,2,,24676,1,{'218': 100},4000.0,24666
682,2,,24677,1,{'220': 100},62048.56,24655
1122,2,,24678,1,{'235': 100},22469.99,24667
1092,2,DBifyVuFA3hYf3mkD2DW,24558,4,{'265': 700133.8},700133.8,24668
1092,2,TlSomQQOo1vwi4lqNIRy,24558,2,{'265': 869752.07},869752.07,24668
936,2,,24552,1,{'235': 100},106099.59,24669
944,2,,24679,1,{'235': 100},385893.06,24656
1194,2,,24557,1,{'280': 100},94900.0,24657
